"type_searchedVerb","type_selection3"
"diferir","1. tr. aplazar (‖ retrasar)."
"dificultar","1. tr. Poner dificultades a las pretensiones de alguien, exponiendo los estorbos que a su logro se oponen."
"difundir","1. tr. Extender, esparcir, propagar físicamente. U. t. c. prnl."
"dignificar","1. tr. Hacer digno o presentar como tal a alguien o algo. U. t. c. prnl."
"dilapidar","1. tr. Malgastar los bienes propios, o los que alguien tiene a su cargo."
"dilatar","1. tr. Extender, alargar y hacer mayor algo, o que ocupe más lugar o tiempo. U. t. c. prnl."
"diluir","1. tr. Disolver algo por medio de un líquido. U. t. c. prnl."
"dirigir","1. tr. Enderezar, llevar rectamente algo hacia un término o lugar señalado. U. t. c. prnl."
"disculpar","1. tr. Dar razones o pruebas que descarguen de una culpa o delito. U. t. c. prnl."
"discursear","1. intr. coloq. Pronunciar discursos."
"discutir","1. tr. Dicho de dos o más personas: Examinar atenta y particularmente una materia."
"disecar","1. tr. Dividir en partes un vegetal o el cadáver de un animal para el examen de su estructura normal o de las alteraciones orgánicas."
"diseminar","1. tr. esparcir. U. t. c. prnl."
"disentir","1. intr. No ajustarse al sentir o parecer de alguien. Disiento de tu opinión."
"disgustar","1. tr. Causar disgusto y desabrimiento al paladar."
"disimular","1. tr. Ocultar o encubrir con astucia lo que se piensa o siente. No disimula sus intenciones. U. t. c. intr. Disimula, que viene el profesor."
"disipar","1. tr. Hacer que algo se desvanezca por separación de las partes que lo forman. U. t. c. prnl."
"dislocar","1. tr. Sacar algo de su lugar. Referido a huesos y articulaciones, u. m. c. prnl."
"disminuir","1. tr. Hacer menor la extensión, la intensidad o el número de algo. U. t. c. intr. y c. prnl."
"disolver","1. tr. Separar las partículas o moléculas de un sólido, un líquido o un gas en un líquido de forma que queden incorporadas a él. U. t. c. prnl."
"disparar","1. tr. Dicho de una persona: Hacer que un arma despida su carga. Disparar una flecha con el arco, una bala con el fusil."
"disparatar","1. intr. Decir o hacer algo fuera de razón y regla."
"disponer","1. tr. Colocar, poner algo en orden y situación conveniente. U. t. c. prnl."
"disputar","1. tr. Luchar, combatir."
"distar","1. intr. Dicho de una persona o de una cosa: Estar situada a una cierta distancia espacial o temporal de otra."
"distinguir","1. tr. Conocer la diferencia que hay de unas cosas a otras."
"divertir","1. tr. Entretener, recrear. U. t. c. prnl."
"dividir","1. tr. Partir o separar algo en partes. Dividió el libro en doce capítulos. U. t. c. prnl. El partido se dividió en dos facciones."
"divulgar",""
