engrandecer,transitive,0
engrasar,transitive,0
engrillar,transitive,0
engrosar,transitive,0
engullir,transitive,intransitive
enhebrar,transitive,0
enjugar,transitive,0
enlazar,transitive,0
enmohecer,transitive,intransitive
enmudecer,transitive,0
ennegrecer,transitive,0
enojar,transitive,0
enredar,transitive,0
enriquecer,transitive,0
enristrar,transitive,0
enrojecer,transitive,0
enrollar,transitive,0
ensalzar,transitive,0
ensanchar,transitive,0
ensangrentar,transitive,0
enseñar,transitive,0
ensortijar,transitive,0
ensuciar,transitive,0
entender,transitive,0
enterar,transitive,0
enternecer,transitive,0
enterrar,transitive,0
entontecer,transitive,0
entornar,transitive,0
entrar,transitive,intransitive
entreabrir,transitive,0
entregar,transitive,0
entresacar,transitive,0
entretejer,transitive,0
entreverar,transitive,0
entrevistar,transitive,0
entristecer,transitive,intransitive
enturbiar,transitive,0
entusiasmar,transitive,0
enumerar,transitive,0
envalentonar,transitive,0
envasar,transitive,0
envenenar,transitive,0
enviar,transitive,0
envolver,transitive,0
equiparar,transitive,0
errar,transitive,intransitive
escampar,transitive,intransitive
escanciar,transitive,0
escapar,transitive,intransitive
escarbar,transitive,0
escasear,transitive,intransitive
esclarecer,transitive,0
escoger,transitive,intransitive
esconder,transitive,0
escribir,transitive,intransitive
escuchar,transitive,0
esculpir,transitive,0
escupir,transitive,intransitive
escurrir,transitive,0
espaciar,transitive,0
espantar,transitive,intransitive
esparcir,transitive,0
esperar,transitive,0
espesar,transitive,0
espiar,transitive,0
esponjar,transitive,0
esposar,transitive,0
espulgar,transitive,0
esquivar,transitive,0
establecer,transitive,0
estafar,transitive,0
estallar,transitive,intransitive
estancar,transitive,0
estar,0,0
estilar,transitive,intransitive
estimar,transitive,0
estimular,transitive,0
estirar,transitive,0
estorbar,transitive,0
estornudar,transitive,intransitive
estrangular,transitive,0
estrechar,transitive,0
estremecer,transitive,0
estrenar,transitive,0
estribar,transitive,intransitive
estropear,transitive,0
estrujar,transitive,0
