averiguar,1. tr. Inquirir la verdad hasta descubrirla.
avisar,1. tr. Dar noticia de algún hecho.
avivar,"1. tr. Dar viveza, excitar, animar. Avivó el paso. U. t. c. prnl. La polémica se avivó con la publicación del artículo."
ayudar,1. tr. Prestar cooperación.
ayunar,1. intr. Abstenerse total o parcialmente de comer o beber.
azotar,1. tr. Dar azotes a alguien. U. t. c. prnl.
azuzar,1. tr. Incitar a los perros para que embistan.
añadir,"1. tr. Agregar, incorporar algo a otra cosa."
añejar,1. tr. Hacer añejo algo. U. t. c. prnl.
añorar,"1. tr. Recordar con pena la ausencia, privación o pérdida de alguien o algo muy querido. U. t. c. intr."
bailar,"1. intr. Ejecutar movimientos acompasados con el cuerpo, brazos y pies. U. t. c. tr. Bailar una polca."
bajar,1. intr. Ir o moverse hacia abajo. El río baja entre rocas.
balancear,1. tr. Hacer que alguien o algo se mueva en vaivén.
balbucear,1. intr. balbucir. U. t. c. tr.
barbotar,1. intr. barbotear1. U. t. c. tr.
barrer,1. tr. Limpiar un lugar arrastrando la suciedad con algo como una escoba.
batir,1. tr. golpear.
bautizar,1. tr. Administrar el sacramento del bautismo a alguien.
bañar,"1. tr. Meter a alguien en el agua o en otro líquido, generalmente para lavarlo, para refrescarlo, o con fines medicinales. U. t. c. prnl. Prefiere bañarse por la noche."
beber,1. intr. Ingerir un líquido. U. t. c. tr.
bendecir,"1. tr. Alabar, engrandecer, ensalzar a alguien."
beneficiar,1. tr. Hacer bien a alguien o a algo. U. t. c. prnl.
blanquear,1. tr. Poner blanco algo.
borbotar,1. intr. borbotear.
borbotear,1. intr. Dicho de un líquido: Brotar o hervir impetuosa o ruidosamente.
borrar,"1. tr. Hacer desaparecer por cualquier medio lo representado con tiza, tinta, lápiz, etc. U. t. c. prnl."
bostezar,"1. intr. Hacer involuntariamente, abriendo mucho la boca, inspiración lenta y profunda y luego espiración, también prolongada y a veces ruidosa, generalmente por sueño o tedio."
boyar,1. intr. Mar. Dicho de una embarcación: Volver a flotar después de haber estado en seco.
bracear,"1. intr. Mover repetidamente los brazos, por lo común con esfuerzo o gallardía."
bramar,1. intr. Dar bramidos.
brillar,1. intr. Dicho de un cuerpo: Emitir o reflejar luz.
brincar,1. intr. Dar brincos o saltos.
bromear,1. intr. Utilizar bromas (‖ chanzas). U. t. c. prnl.
bufar,"1. intr. Dicho de un animal, especialmente de un toro o de un caballo: Resoplar con ira y furor."
bullir,1. intr. Dicho del agua o de otro líquido: hervir (‖ producir burbujas por la acción del calor).
burbujear,1. intr. Hacer burbujas.
burlar,"1. tr. Chasquear, zumbar. U. m. c. prnl."
buscar,1. tr. Hacer algo para hallar a alguien o algo. Estoy buscando un libro.
cabecear,"1. intr. Mover o inclinar la cabeza, ya a un lado, ya a otro, o moverla reiteradamente hacia delante."
caber,1. intr. Dicho de una persona o de una cosa: Poder contenerse dentro de algo.
cabriolar,1. intr. Dar o hacer cabriolas.
cacarear,1. intr. Dicho de un gallo o de una gallina: Dar voces repetidas.
caer,1. intr. Dicho de un cuerpo: Moverse de arriba abajo por la acción de su propio peso. U. t. c. prnl.
cagar,1. intr. malson. Evacuar el vientre. U. t. c. tr. y c. prnl.
calcular,1. tr. Hacer cálculos (‖ cómputos).
calentar,1. tr. Comunicar calor a un cuerpo haciendo que se eleve su temperatura. U. t. c. prnl.
callar,1. tr. Omitir o no decir algo. U. t. c. prnl.
calmar,"1. tr. Sosegar, adormecer, templar a alguien o algo. U. t. c. prnl."
calumniar,"1. tr. Atribuir falsa y maliciosamente a alguien palabras, actos o intenciones deshonrosas."
cambiar,"1. tr. Dejar una cosa o situación para tomar otra. U. t. c. intr. y c. prnl. Cambiar de nombre, lugar, destino, oficio, vestido, opinión, gusto, costumbre."
caminar,1. tr. Andar determinada distancia. Hoy he caminado diez kilómetros.
canjear,"1. tr. En la diplomacia, la milicia y el comercio, hacer canje de una persona o cosa por otra."
cansar,1. tr. Causar cansancio a alguien. U. t. c. prnl.
cantar,"1. intr. Dicho de una persona: Producir con la voz sonidos melodiosos, formando palabras o sin formarlas. Cantar con buena voz."
capacitar,"1. tr. Hacer a alguien apto, habilitarlo para algo. U. t. c. prnl."
captar,"1. tr. Percibir algo por medio de los sentidos o de la inteligencia, percatarse, comprender. Captar un ruido, un propósito oculto."
capturar,"1. tr. Apresar o hacer prisionero a alguien, especialmente a un delincuente."
carcomer,1. tr. Dicho de la carcoma: Roer la madera.
cardar,1. tr. Preparar con la carda una materia textil para el hilado.
carear,"1. tr. Tomar declaración a una persona en presencia de otra, o a dos personas a la vez, con el fin de desentrañar la verdad de unos hechos sobre los que han dado versiones contradictorias. Fue necesario carear al primer testigo con el segundo porque sus relatos no coincidían en nada."
cargar,1. tr. Poner o echar peso sobre alguien o sobre una bestia.
casar,1. intr. Contraer matrimonio. U. m. c. prnl.
castellanizar,1. tr. Dar carácter castellano a algo o a alguien. U. t. c. prnl.
castigar,1. tr. Ejecutar algún castigo en un culpado.
causar,1. tr. Dicho de una causa: Producir su efecto.
cautivar,"1. tr. Aprisionar al enemigo en la guerra, privándole de libertad."
cavar,"1. tr. Levantar y mover la tierra con la azada, el azadón u otro instrumento semejante."
cazar,"1. tr. Buscar o perseguir aves, fieras y otras muchas clases de animales para cobrarlos o matarlos."
cebar,1. tr. Dar comida a los animales para aumentar su peso.
cecear,"1. intr. Fon. Pronunciar con un sonido ciceante el fonema representado por las letras s, z o c seguida de e o i."
ceder,"1. tr. Dar, transferir o traspasar a alguien una cosa, acción o derecho."
cegar,1. tr. Quitar la vista a alguien.
celebrar,"1. tr. Ensalzar públicamente a un ser sagrado o un hecho solemne, religioso o profano, dedicando uno o más días a su recuerdo. Celebran la Pascua."
cenar,1. m. desus. cena1.
centellear,1. intr. Despedir destellos vivos y rápidos de manera intermitente. U. t. en sent. fig.
centrar,1. tr. Colocar algo en el centro o de forma equidistante entre dos extremos.
cernir,1. tr. cerner.
cerrar,"1. tr. Asegurar con cerradura, pasador, pestillo, tranca u otro instrumento, una puerta, ventana, tapa, etc., para impedir que se abra."
